epoch,loss,accuracy
390, 0.00216,28.542
391, 0.00216,29.233
392, 0.00218,29.026
393, 0.00219,29.578
394, 0.00218,28.933
395, 0.00216,29.371
396, 0.00218,29.394
397, 0.00218,28.956
398, 0.00218,29.394
399, 0.00217,29.118
400, 0.00217,30.108
401, 0.00216,29.348
402, 0.00217,29.855
403, 0.00217,29.394
404, 0.00217,29.901
405, 0.00217,28.979
406, 0.00218,28.956
407, 0.00218,28.818
408, 0.00218,28.611
409, 0.00218,29.026
410, 0.00217,29.003
411, 0.00216,29.694
412, 0.00217,29.601
413, 0.00217,28.956
414, 0.00218,28.818
415, 0.00216,29.717
416, 0.00216,29.440
417, 0.00217,29.532
418, 0.00217,29.625
419, 0.00216,29.740
420, 0.00217,29.625
421, 0.00216,29.601
422, 0.00216,29.855
423, 0.00217,29.486
424, 0.00217,30.223
425, 0.00217,30.316
426, 0.00217,29.509
427, 0.00216,29.671
428, 0.00217,29.532
429, 0.00217,30.200
430, 0.00219,30.016
431, 0.00215,29.786
432, 0.00215,30.062
433, 0.00215,29.809
434, 0.00216,28.795
435, 0.00217,29.648
436, 0.00216,30.016
437, 0.00217,29.026
438, 0.00217,29.970
439, 0.00215,29.924
440, 0.00217,29.555
441, 0.00217,29.901
442, 0.00218,29.786
443, 0.00218,29.256
444, 0.00215,30.270
445, 0.00217,29.118
446, 0.00217,28.818
447, 0.00216,30.154
448, 0.00216,30.131
449, 0.00217,29.325
450, 0.00218,29.440
451, 0.00216,29.878
452, 0.00217,29.279
453, 0.00216,29.832
454, 0.00217,29.694
455, 0.00216,30.062
456, 0.00217,29.694
457, 0.00216,29.763
458, 0.00215,29.993
459, 0.00216,29.694
460, 0.00216,29.187
461, 0.00215,30.108
462, 0.00215,30.200
463, 0.00217,29.763
464, 0.00215,29.970
465, 0.00214,30.339
466, 0.00217,30.223
467, 0.00218,29.901
468, 0.00217,29.924
469, 0.00216,30.246
470, 0.00215,30.039
471, 0.00215,30.915
472, 0.00216,29.970
473, 0.00216,29.371
474, 0.00217,30.085
475, 0.00216,29.625
476, 0.00216,29.417
477, 0.00216,29.648
478, 0.00215,29.901
479, 0.00216,29.463
480, 0.00215,30.270
481, 0.00217,29.786
482, 0.00215,29.786
483, 0.00217,30.200
484, 0.00216,29.164
485, 0.00215,29.210
486, 0.00216,29.648
487, 0.00216,29.394
488, 0.00216,29.717
489, 0.00217,30.177
490, 0.00216,30.431
491, 0.00216,29.717
492, 0.00216,30.316
493, 0.00216,29.763
494, 0.00216,29.717
495, 0.00216,29.763
496, 0.00217,29.924
497, 0.00216,30.085
498, 0.00216,29.832
499, 0.00217,29.302
500, 0.00215,30.316
501, 0.00218,29.970
502, 0.00217,30.108
503, 0.00217,30.177
504, 0.00215,30.293
505, 0.00216,29.417
506, 0.00216,29.970
507, 0.00217,30.270
508, 0.00216,29.578
509, 0.00215,29.809
510, 0.00215,29.901
511, 0.00215,30.200
512, 0.00215,30.431
513, 0.00215,30.154
514, 0.00213,30.707
515, 0.00217,29.878
516, 0.00217,29.901
517, 0.00216,29.394
518, 0.00216,29.671
519, 0.00216,30.177
520, 0.00215,29.947
521, 0.00217,29.855
522, 0.00217,30.131
523, 0.00215,30.154
524, 0.00217,29.532
525, 0.00216,29.924
526, 0.00217,30.177
527, 0.00215,30.108
528, 0.00215,30.339
529, 0.00215,30.408
530, 0.00216,30.454
531, 0.00214,30.730
532, 0.00217,29.302
533, 0.00216,30.177
534, 0.00217,29.786
535, 0.00215,30.408
536, 0.00216,30.270
537, 0.00216,29.832
538, 0.00217,29.555
539, 0.00218,29.855
540, 0.00215,29.509
541, 0.00217,29.901
542, 0.00215,31.145
543, 0.00214,29.809
544, 0.00215,29.878
545, 0.00215,30.385
546, 0.00215,30.293
547, 0.00214,30.246
548, 0.00216,30.362
549, 0.00217,29.302
550, 0.00215,30.177
551, 0.00215,29.947
552, 0.00215,30.431
553, 0.00215,30.270
554, 0.00215,30.477
555, 0.00215,30.085
556, 0.00216,30.500
557, 0.00216,29.993
558, 0.00217,29.809
559, 0.00215,29.763
560, 0.00215,29.901
561, 0.00215,30.339
562, 0.00214,29.901
563, 0.00216,29.394
564, 0.00215,30.431
565, 0.00215,29.970
566, 0.00215,31.099
567, 0.00215,30.108
568, 0.00216,30.177
569, 0.00215,29.601
570, 0.00216,30.362
571, 0.00216,29.855
572, 0.00215,30.339
573, 0.00215,30.200
574, 0.00215,30.177
575, 0.00215,30.339
576, 0.00216,29.947
577, 0.00214,30.684
578, 0.00217,29.740
579, 0.00215,29.463
580, 0.00214,30.891
581, 0.00216,30.016
582, 0.00215,29.947
583, 0.00216,30.062
584, 0.00215,30.938
585, 0.00214,29.855
586, 0.00215,30.431
